Compound ID,smiles,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L)
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,-2.794
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,-2.438
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,-2.535
"1,2-Dichloroethane",ClCCCl,-1.43,-1.604
Benzene,c1ccccc1,-1.32,-1.688
Toluene,Cc1ccccc1,-2.16,-2.232
Naphthalene,c1ccc2ccccc2c1,-3.3,-3.003
Fluorene,c1ccc2cc3ccccc3cc2c1,-4.78,-4.036
Anthracene,c1ccc2cc3ccccc3cc2c1,-6.4,-4.817
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,-4.88,-4.504
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-6.17,-5.287
Acenaphthylene,C1=CC2=CC=CC3=CC=CC1=C23,-5.48,-4.388
Acenaphthene,C1CCC2=CC=CC3=CC=CC1=C23,-4.81,-4.024
Phenol,Oc1ccccc1,-0.76,-1.025
o-Cresol,Cc1ccccc1O,-1.4,-1.47
m-Cresol,Cc1cccc(O)c1,-1.2,-1.47
p-Cresol,Cc1ccc(O)cc1,-1.43,-1.47
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-1.85,-1.913
"2,4,6-Trimethylphenol",Cc1cc(C)cc(C)c1O,-1.96,-2.356
Catechol,Oc1ccccc1O,0.02,-0.345
Resorcinol,Oc1cccc(O)c1,0.32,-0.337
Aniline,Nc1ccccc1,-0.73,-0.759
Nitrobenzene,O=[N+]([O-])c1ccccc1,-1.85,-1.753
o-Nitrophenol,Oc1ccccc1[N+](=O)[O-],-2.81,-2.141
Benzoic acid,OC(=O)c1ccccc1,-1.87,-1.622
Aspirin,CC(=O)Oc1ccccc1C(=O)O,-1.95,-2.095
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-4.31,-3.919
Paracetamol,CC(=O)Nc1ccc(O)cc1,-0.9,-1.034
Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-1.09,-1.449
Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1.0,0.435
Fructose,OC[C@@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,1.73,0.697
Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0.79,0.536
Urea,NC(N)=O,1.0,0.972
Glycine,NCC(=O)O,0.89,0.688
Alanine,C[C@@H](N)C(=O)O,0.51,0.543
Ethanol,CCO,1.79,1.049
Methanol,CO,0.92,1.21
1-Butanol,CCCCO,-0.77,-0.201
1-Octanol,CCCCCCCCO,-3.12,-2.572
Acetic acid,CC(=O)O,1.0,0.966
Butyric acid,CCCC(=O)O,-1.1,-0.728
Octanoic acid,CCCCCCCC(=O)O,-3.05,-3.171
Acetone,CC(C)=O,1.0,0.655
2-Butanone,CCC(C)=O,0.29,0.169
Cyclohexane,C1CCCCC1,-3.59,-3.009
Cyclohexanone,O=C1CCCCC1,-0.95,-0.944
Chlorobenzene,Clc1ccccc1,-2.64,-2.193
Bromobenzene,Brc1ccccc1,-2.87,-2.534
Iodobenzene,Ic1ccccc1,-3.09,-2.886
Chloroform,ClC(Cl)Cl,-1.97,-2.187
Carbon tetrachloride,ClC(Cl)(Cl)Cl,-3.35,-3.008
Diethyl ether,CCOCC,-0.89,-0.81
Tetrahydrofuran,C1CCOC1,-0.46,-0.355
Dimethyl sulfoxide,CS(C)=O,1.0,0.98
Pyridine,c1ccncc1,-0.28,-0.351
2-Methylpyridine,Cc1ccccn1,-0.7,-0.787
Quinoline,c1ccc2ncccc2c1,-2.29,-1.935
Isoquinoline,c1cnc2ccccc2c1,-1.94,-1.923
Indole,c1ccc2[nH]ccc2c1,-2.8,-2.268
Imidazole,c1cn[nH]c1,0.72,0.42
Thiophene,c1ccsc1,-2.12,-1.697
Furan,c1ccoc1,-1.34,-1.156
Morpholine,C1COCCN1,0.0,-0.091
Piperidine,C1CCNCC1,-0.79,-0.61
Piperazine,C1CNCCN1,0.68,0.445
Triethylamine,CCN(CC)CC,-1.42,-1.495
Dimethylformamide,CN(C)C=O,0.9,0.695
N-methylpyrrolidone,CN1CCCC1=O,0.0,0.136
Diazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1C,-3.11,-3.407
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-4.51,-4.682
Ampicillin,N[C@@H](c1ccccc1)C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H]2N(C1=O)C(=O)O,-2.59,-2.374
Amoxicillin,N[C@@H](c1ccc(O)cc1)C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H]2N(C1=O)C(=O)O,-1.61,-1.78
Penicillin G,OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,-4.21,-3.516
Tetracycline,CN(C)[C@@H]1C(=O)C(=C2C(=O)c3c(O)ccc(O)c3[C@]2(O)C1)O),-0.6,-1.284
Doxycycline,[C@@H]1(N(C)C)C(=O)C(=C2C(=O)c3cccc(O)c3[C@]2(O)[C@@H]1O)O,-1.95,-2.26
Erythromycin,CCC1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)CC(=O)[C@H](C)[C@@H]1O,-3.19,-5.128
Warfarin,OC(=O)c1ccccc1CC(CC(=O)c1ccccc1)c1ccc(Cl)cc1,-3.65,-3.698
Metformin,CN(C)C(=N)NC(=N)N,-0.1,-0.016
Metoprolol,COCCCC(C)(C)OC(=O)Nc1ccc(COCCC(O)CNC(C)C)cc1,-2.29,-2.527
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-1.77,-1.762
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,-3.41,-3.004
Verapamil,COc1ccc(CCN(C)CCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-3.99,-4.527
Nifedipine,COC(=O)C1=C(C)NC(=CS(N)(=O)=O)C(=C1)C(=O)OC,-3.5,-3.45
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.55,-3.283
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.7,-2.793
Enalapril,CCOC(=O)[C@@H](N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)CCc1ccccc1,-3.0,-3.304
Lisinopril,NCCCC[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-2.73,-3.069
Captopril,SC[C@@H](C(=O)O)N1C(=O)[C@@H](CCC1)S,-1.28,-1.469
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,-3.11,-3.408
Ranitidine,CNC(/C=N/SC)=N/Cc1ccc(CN(C)C)o1,-0.74,-1.161
Famotidine,NC(=N)NS(=O)(=O)Cc1nc(CN=C(N)N)cs1,-1.4,-1.594
Ondansetron,Cn1cc2c(cc1=O)CN(c1ccccc1)CC2,-2.64,-2.873
Simvastatin,CC[C@@H](C)C(=O)O[C@H]1CC(=O)c2cc(OC(=O)c3ccccc3)c(C)cc2C1,-4.13,-4.677
Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,-4.26,-4.912
Lovastatin,CCC(C)C(=O)O[C@H]1CC(=O)c2cc(OC)c(C)cc2C1,-4.78,-4.609
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-4.87,-4.96
Celecoxib,Cc1ccc(-c2cc(c(ns2)N)c2ccc(F)cc2)cc1S(=O)(=O)N,-4.94,-4.79
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-2.87,-3.12
Ciprofloxacin,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-2.54,-2.76
Acetato de etilo,CCOC(C)=O,-0.679,-0.679
